Date,Property Description
"Monday, August 27, 2018",
"Monday, August 27, 2018","
Property For Sale
GOZO, GĦARB. Plot of land. €165,000. Phone 9942 2146."
"Monday, August 27, 2018","
Property For Sale
ST JULIANS. The podium one bedroom maisonette. Highly finished and furnished. €210,000. Phone 7947 1661."
"Monday, August 27, 2018","
Property For Sale
1% ANNE PULLICINO sensara www.anneproperties.com. Phone 9942 2749."
"Monday, August 27, 2018","
Property For Sale
10 PRICE REDUCTIONS this week on properties for sale at Ben Estates Ltd. Visit our website www.benestates.com or phone 9999 9983."
"Monday, August 27, 2018","
Property For Sale
ATTARD, Tal-Mirakli area. 165sqm, third floor penthouse, block of only five. Kitchen / breakfast / dining / living, front terrace, open views, three double bedrooms, ensuite, washroom, back terrace, lift,airspace (potential to build another floor), solar water heater. €415,000. Phone 9988 4893."
"Monday, August 27, 2018","
Property For Sale
ATTARD. 192sqm three bedroom apartment in a lovely area. With three terraces. Must be seen. €350,000. Phone 9922 4200. "
"Monday, August 27, 2018","
Property For Sale
ATTARD. Brand new three bedrooms, south facing apartment with unobstructed country views. Sold fully finished including a / cs and pvc apertures with double glazing. €285,000. Phone 7929 6349."
"Monday, August 27, 2018","
Property For Sale
ATTARD. First floor, ready to move into two bedroom apartment, well sized front balcony and total area of 120sqm. €238,000. Phone 7974 7727."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Furnished, three bedroom maisonette with airspace €345,000. Phone 7929 4648/7989 0362."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Highly finished solitary maisonette, rooftop views, large roof terrace, two-car garage. €550,000. Phone 7952 4407."
"Monday, August 27, 2018","
Property For Sale
ATTARD. New on the market 171sqm finished apartment, three double bedrooms main with ensuite, box room, front terrace. €230,000. Phone 7901 5000."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Rare to come by. Farmhouse with permits on 7000sqm, 75sqm pool, huge reservoir. Nothing like it on the market. No agents. € 1,195,000. Phone 9944 4656."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Ready built and finished three bedroom apartments. Property has large open plan, front and back balcony with fantastic open views. €250,000. Phone 7902 8283."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Semi-detached villa, 230sqm footprint, three bedrooms, garage, backyard. For more info phone Joe 9901 1837."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Semi-detached villa. In very good condition. Ready to move into. Only €800,000. Phone 9945 6442."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Three bedroom 185sqm luxurious apartment two terraces, two bathrooms fitted kitchen and large living / dining / sitting. €425,000. Phone 9924 0421."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Three bedroom shell form apartment, open views €210,000. Phone 7982 2206."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Two bedroom furnished maisonette, front terrace and optional car spaces. €249,000. Phone 7972 8893."
"Monday, August 27, 2018","
Property For Sale
ATTARD. Well lit, three bedroom duplex maisonette. 100sqm outdoor area. Two-car interconnected garage. €430,000. Phone 9978 7591."
"Monday, August 27, 2018","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. Highly furnished apartment enjoying unobstructed country views. Price €200,000. Phone 9929 8177."
"Monday, August 27, 2018","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. On plan, 180sqm three bedroom apartment in this beautiful locality. Ensuites, walk-ins etc. €310,000. Phone 9922 4200."
"Monday, August 27, 2018","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. One bedroom apartment, fully furnished, spacious front balcony with unobstructed views. €200,000. Phone 9993 4947."
"Monday, August 27, 2018","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. Two / three bedroom apartment 140sqm brand new block sold finished. €310,000. Phone 9982 3868."
"Monday, August 27, 2018","
Property For Sale
BAĦRIJA. 145sqm, brand new three bedroom apartment. Furnished, large balconies, valley views, block of four. €250,000. Phone 9942 4194."
"Monday, August 27, 2018","
Property For Sale
BALZAN. Beautiful finished three bedroom semi-detached villa with swimming pool. Spacious accommodation, large underlying games rooms and four-car garage. Phone Marisa 9947 1392."
"Monday, August 27, 2018","
Property For Sale
BALZAN. Four bedroom apartment with two bathrooms. Property has large open plan areas. €318,000. Phone 7974 7727/2339 2459."
"Monday, August 27, 2018","
Property For Sale
BALZAN. Newly built three double bedroom penthouse, approximately 165sqm. Spacious front terrace and further balconies. A one off property. €450,000. Phone 7972 8893."
"Monday, August 27, 2018","
Property For Sale
BALZAN. Semi-detached villa, 325sqm footprint, four bedrooms, four-car garage and pool. For more info phone Joe 9901 1837."
"Monday, August 27, 2018","
Property For Sale
BALZAN. Three bedroom fully furnished apartment with garage. €297,000. Phone 7985 8239."
"Monday, August 27, 2018","
Property For Sale
BALZAN. Three bedroom semi-detached villa on a 286sqm plot. Needs full renovation. €775,000. Phone 9970 0300."
"Monday, August 27, 2018","
Property For Sale
BIDNIJA. Nothing like it on the market. Superb layout and design. Detached bungalow,1500sqm, unobstructed views. Three double bedrooms, two ensuite bathrooms, walk-in wardrobe basement and garage. Superb pool and deck area. €1,350,000. No Agents. Phone 7949 0063."
"Monday, August 27, 2018","
Property For Sale
BIRGU. Beautiful, large townhouse. Close to main square. Ideal as Boutique Hotel. €638,000. Phone 7930 2133."
"Monday, August 27, 2018","
Property For Sale
BIRGU. Townhouse. Possibility to convert in five apartments. Views. €485,000. Phone 7929 4648."
"Monday, August 27, 2018","
Property For Sale
BIRGUMA. 510sqm semi detached bungalow, six-car semi-basement garage, pool area / garden, advanced shell. €1,450,000. Phone 7901 5000."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA, bordering Balzan. Large groundfloor maisonette, garden, large garage. Structurally sound. €395,000. Phone 7930 1088."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA, Ta' Paris. Unconverted two bedroom maisonette with front patio and back yard. Phone 9967 0019. "
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA, villa area. Semi detached villas with pool and garage. From €620,000. Phone 9989 1899. "
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Choice of two bedroom apartments starting from €140,000. Phone 9928 7339."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Converted two bedrooms house of character with central court yard. €250,000. Phone 9967 0019."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Groundfloor maisonette with ownership of airspace and possibility of developing two extra floors. €70,000. Phone 7996 3357."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Highly converted house of character. Two bedrooms, study, internal yard, roof terrace. €389,000. Phone 9944 8342."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Third floor apartment with lift, three bedrooms, two bathrooms, kitchen / living / dining, two balconies. €159,000. Phone 7966 0060/7923 1275."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Three bedroom, fully furnished, modern maisonette, large back yard. Garages available for rent. €290,000. Phone 7959 5457."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Townhouse. Unconverted, good structure, large garden space for pool. €385,000. Phone 7705 9699."
"Monday, August 27, 2018","
Property For Sale
BIRKIRKARA. Unconverted house of character right in the village core with central courtyard. High potential. €155,000. Phone 7990 0738. "
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA, Qajjenza area. Basement one-car garages. €18,000. Also available large street levels garages. Phone 7965 5563 or 7904 6705."
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA. Highly finished two bedroom maisonette, backyard and seafront. €188,000. Phone 9917 0000."
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA. Land, circa 936sqm. €115,000. Phone 7921 0949."
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA. One bedroom unconverted grounfloor maisonette with small yard. €128,000. Phone 7702 0403."
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA. Penthouse with sea views. Property includes two bathrooms, kitchen sitting / dining area, terrace air-conditioners, bathroom and balcony. Includes airspace for one more floor. €330,000. Phone 7974 7720/2339 2456."
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA. Seafront apartment finished without bathrooms and doors. €185,000. Phone 9917 0000."
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA. Three bedroom fully furnished apartment with optional garage. €197,000. Phone 7702 0403."
"Monday, August 27, 2018","
Property For Sale
BIRŻEBBUĠA. Unique townhouse, superb views, stone throw away from the beach. €585,000. Phone 9970 1466."
"Monday, August 27, 2018","
Property For Sale
BLATA L-BAJDA. Three storey commercial property on main road, also suitable for development. Approximately 20 by 70 ft. €320,000. Phone 99471136."
"Monday, August 27, 2018","
Property For Sale
BUĠIBBA. 140sqm fully furnished apartment ideal as a rental investment. €149,000. Phone 9989 1899."
"Monday, August 27, 2018","
Property For Sale
BUĠIBBA. Finished two bedroom maisonette minutes away from Portobello, two yards. Built and ready to be viewed. €240,000. Phone 9928 7339."
"Monday, August 27, 2018","
Property For Sale
BUĠIBBA. Two / three bedroom groundfloor maisonett. Phone 2145 3742 or 9944 6627."
"Monday, August 27, 2018","
Property For Sale
COSPICUA (Bormla). Cosy three storey townhouse set in one of the best streets. Two bedrooms, bathroom and own roof terrace with distant views of the harbour. Priced to sell, €289,000. Phone 9937 3635."
"Monday, August 27, 2018","
Property For Sale
COSPICUA. First floor maisonette with airspace, possibility to develop further. €260,000. Phone 9911 4999."
"Monday, August 27, 2018","
Property For Sale
COSPICUA. One bedroom groundfloor maisonette minutes away from the ferry and the waterfront, finished and furnished to high standards, including fireplace and air-conditioning. Ideal rental investment. €159,000. Phone 9937 3635."
"Monday, August 27, 2018","
Property For Sale
FGURA. Block of eight apartments, luxuriously finished and close to all amenities. Optional Garage. €145,000. Phone 9993 4947."
"Monday, August 27, 2018","
Property For Sale
FGURA. Large partially furnished three bedroom maisonette, backyard, and interconnecting garage. €229,000. Phone 9917 0000."
"Monday, August 27, 2018","
Property For Sale
FLORIANA. Studio maisonette recently converted being sold furnished. Excellent buy to let. €180,000. Phone 9982 3868."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. 122sqm two bedroom apartment, kitchen / living / dining, complimented with a large balcony, guest bathroom, two double bedrooms, main with ensuite, balcony. Completion date April 2019. €210,000. Phone 9931 6080."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. 190sqm modern bright, extremely well furnished three bedroom maisonette, three-car interconnecting garage, lovely back yard. €428,000. Phone 7972 8893."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Duplex apartment with street level two-car garage. Total 150sqm (75sqm each floor). €426,000. Phone 7947 3399."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Elevated ground floor maisonette, 192sqm. 50sqm open plan, terrace. Three double bedrooms, ensuite, courtyard, washroom. One-car garage included. Freehold. €399,000. Phone 9936 9997."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Large three bedroom apartment measuring 153sqm. Being offered finished excluding internal doors and bathrooms. €319,000. Phone 9945 0582."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Massive three bedroom penthouse. No agents. Phone 7776 7888."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Penthouse. Three bedrooms, two bathrooms open plan, terrace, airspace, etc. €355,000. Phone 9949 2577."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Ready built and highly finished three bedroom penthouse. €430,000. Phone 9944 4046. "
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Terraced house. Three double bedroos, three bathrooms, yard, terrace, basement, interconnecting two-car garage. €520,000. Phone 7991 2559."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Two bedroom, 110sqm apartment on plan. Great rental investment. Full finish. Act fast. €245,000. Phone 7905 1578."
"Monday, August 27, 2018","
Property For Sale
GĦARGĦUR. Villa on a plot of 4500sqm enjoying landscape gardens and outdoor / indoor pool, three bedrooms and two-car garage. €6,300,000. Phone 7942 6065."
"Monday, August 27, 2018","
Property For Sale
GĦAXAQ. New fully equipped turkish take-away / snack bar. €50,000. Phone 9917 0000."
"Monday, August 27, 2018","
Property For Sale
GOZO, GĦAJNSIELEM. Brand new block with selection of two / three bedroom apartments. Property offers fantastic country views, open plan areas and terraces. €120,000. Phone 7996 7968."
"Monday, August 27, 2018","
Property For Sale
GOZO, GĦAJNSIELEM / QALA. Large, bright, second floor, three double bedroom fully finished apartment served with lift. Bargain, €120,000. Phone 9997 4636."
"Monday, August 27, 2018","
Property For Sale
GOZO, GĦARB. A five bedroom farmhouse with pool and garden. €525,000. Phone 9942 2146."
"Monday, August 27, 2018","
Property For Sale
GOZO, KERĊEM. New block of apartments with communal pool, valley sea views large terrace (one of a kind) two bed €135,000 three bedroom €170,000. Phone 9982 9745."
"Monday, August 27, 2018","
Property For Sale
GOZO, MARSALFORN. Apartment, two bedroom, two bathroom, large balcony. Cross the road seafront, with lift. €110,000. Phone 7979 1514."
"Monday, August 27, 2018","
Property For Sale
GOZO, MARSALFORN. Fully furnished two bedroom maisonette. Includes three air-conditioners and is in a great location near the sea. Ready to move into. €139,000. Phone 7947 1725."
"Monday, August 27, 2018","
Property For Sale
GOZO, MARSALFORN. Furnished three bedroom apartment, 9sqm balcony, lift, side views. €150,000. Phone 7749 1115."
"Monday, August 27, 2018","
Property For Sale
GOZO, MARSALFORN. Large finished three bedroom maisonette with large yard in complex with pool. €140,000. Phone 7942 7569."
"Monday, August 27, 2018","
Property For Sale
GOZO, MUNXAR, Xlendi Bay area. First floor, three bedroom, open plan area, two bathrooms, walk-in wardrobe, two balconies, 137sqm, shell. €100,000. Phone 7949 0827."
"Monday, August 27, 2018","
Property For Sale
GOZO, NADUR, minutes from San Blas. Four bedroom house with large garden and pool / car port. Not to be missed. €360,000. Phone 9997 4636."
"Monday, August 27, 2018","
Property For Sale
GOZO, NADUR, The Crystal. Luxuriously finished fully insulated and finished apartments, not on plan. Two bedrooms at €108,000. Three bedrooms €120,000. Maisonette €120,000 and penthouses two or three bedroom starting from €145,000. No commissions involved or e-mail us on property@acgroupmalta.com. Phone owner direct on 9908 1000."
"Monday, August 27, 2018","
Property For Sale
GOZO, NADUR. 165sqm ground floor apartment. Three bedroom, three bathroom, internal, back yard. Country views, shell. €153,000. Phone 7949 0827."
"Monday, August 27, 2018","
Property For Sale
GOZO, NADUR. Brand new block. Comes with communal pool, unobstructed views, three bedrooms, open plan area and a terrace. €340,000. Phone 7926 4305."
"Monday, August 27, 2018","
Property For Sale
GOZO, NADUR. Farmhouse, seven rooms, two storey on 597sqm, quiet street, views, large separate garage. Huge potential. Phone owner Peter 9995 5118."
"Monday, August 27, 2018","
Property For Sale
GOZO, NADUR. Four bedroom house of character with pool enjoying stunning views down Ramla Valley. Garage. €525,000. Phone 7942 7569."
"Monday, August 27, 2018","
Property For Sale
GOZO, NADUR. Three bedroom terraced house with two-car street level garage, own roof-space, solar panels, ready to move in. €258,000. Phone 7922 1227."
"Monday, August 27, 2018","
Property For Sale
GOZO, QALA, minutes from beach. Awesome penthouse, large terrace. Ideal first property or perfect summer home / rental investment. €85,000. Phone 9997 4636."
"Monday, August 27, 2018","
Property For Sale
GOZO, QALA. Furnished three bedroom house, pool, games room, one-car garage. € 275,000. Phone 9949 1115 ."
"Monday, August 27, 2018","
Property For Sale
GOZO, QALA. Large house / villa. Massive outdoor space with pool, six / seven bedrooms (all ensuite), large living area. Ideal for bed and breakfast venture. Price on request. Phone 9997 4636."
"Monday, August 27, 2018","
Property For Sale
GOZO, QALA. Two bedroom, one bathroom shell form ground floor apartment guaranteed views of Daħħlet Qorrot. €135,000. Phone 7942 7569."
"Monday, August 27, 2018","
Property For Sale
GOZO, SANNAT. Duplex aparatament, three bedrooms, two bathrooms, two terraces. Shell form. €138,000. Phone 9924 8373."
"Monday, August 27, 2018","
Property For Sale
GOZO, SANNAT. Duplex Apartment, three bedrooms, two bathrooms, two terraces. Shell form. €138,000. Phone 9924 8373."
"Monday, August 27, 2018","
Property For Sale
GOZO, VICTORIA. Spacious townhouse with lovely yard right off the centre of Victoria. Located in a quiet area. Three beds, ready to move into. €245,000. Phone 7922 1227."
"Monday, August 27, 2018","
Property For Sale
GOZO, XAGĦRA. A different layout apartment, three bedrooms, large terraces, very bright. Phone 9924 8373."
"Monday, August 27, 2018","
Property For Sale
GOZO, XAGĦRA. A different layout apartment, three bedrooms, large terraces, very bright. Phone 9924 8373."
