Date,Property Description
"Monday, September 4, 2017",
"Monday, September 4, 2017","
Property For Sale
100% FOCUSED on quality properties. Excel Homes Real Estate Ltd. www.Excel.com.mt Phone 9945 1255, 2141 3355."
"Monday, September 4, 2017","
Property For Sale
GOZO, GĦAJNSIELEM. A four bedroom terraced house with a garage and a back yard. €350,000. Phone 9942 2146."
"Monday, September 4, 2017","
Property For Sale
SLIEMA, central. Bargain. Unique opportunity to buy a six bedroom apartment with two entrances. Or to be used as a shop / office and separate four bedroom apartment. Total price for both properties is €310,000. Please phone 7983 7178."
"Monday, September 4, 2017","
Property For Sale
ŻEBBIEGĦ. Agricultural land, circa 13 tumoli, with two wells and PA permits for restoration of walls, water reservoir and pump room. Access by car from private road. Fantastic unobstructed views. €600,000. Phone 9942 3711."
"Monday, September 4, 2017","
Property For Sale
10 PRICE REDUCTIONS this week on properties for sale at Ben Estates Ltd. Visit our website www.benestates.com or phone 9999 9983."
"Monday, September 4, 2017","
Property For Sale
100% FOCUSED on quality properties. Excel Homes Real Estate Ltd. www.Excel.com.mt Phone 9945 1255, 2141 3355."
"Monday, September 4, 2017","
Property For Sale
A SELECTION of various upmarket properties for sale. Phone 9970 2619."
"Monday, September 4, 2017","
Property For Sale
ATTARD, Misraħ Kola. Imposing, 570sqm five bedroom corner villa. Needs updating. Phone 9926 4468."
"Monday, September 4, 2017","
Property For Sale
ATTARD. 150sqm apartments, excellent location. Starting from €222,000. Phone 7982 2206."
"Monday, September 4, 2017","
Property For Sale
ATTARD. 155sqm, finished, wide fronted maisonette. ODZ views, three bedrooms, utility, large yard. Phone 9949 5041."
"Monday, September 4, 2017","
Property For Sale
{_Hlk488233075 280sqm villa comprising hall, lounge, dining, kitchen, study, three bedrooms, two bathrooms, spare toilet, internal yard, front garden, driveway including one-car garage and own roof. €585,000. Phone 7744 2745."
"Monday, September 4, 2017","
Property For Sale
{_Hlk488233075 Elevated, groundfloor three bedroommaisonette with unobstructed country views. Phone 7928 5667."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Elevated, three bedroom groundfloor maisonette in a block of two. €260,000, garage optional. No agents. Phone 7931 0597."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Fully furnished two bedroom apartment. Kitchen / living / dining, ensuite, bathroom, front terrace, one-car garage. €235,000. Phone 9915 0277."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Fully furnished, 170sqm, modern apartment, excellent location. Three double bedrooms, two balconies, lock-up car garage. €319,000. Phone 9931 6144."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Fully furnished, modern, finished, two double bedroom apartment with two-car lock-up garage. €300,000. Phone 9944 4046."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Modern, three bedroom apartment having a squarish layout and finished to high standards. Layout is in the form of an open plan kitchen / living / dining leading onto a front terrace, three double bedrooms (main with ensuite shower and walk-in wardrobe) and a main bathroom. Complimenting this property is a one-car, interconnecting, lock-up garage.€318,000. Phone 9958 6828."
"Monday, September 4, 2017","
Property For Sale
ATTARD. New on the market. Corner two bedroom apartments. €175,000. Phone 7949 3537."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Newly constructed, south-facing, spacious, elevated, 145sqm three double bedroom maisonette with unobstructed country views. €295,000. Phone 7996 3357."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Three bedroom modern apartment having two nice terraces and optional garage. €285,000. Phone 7982 2913."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Three bedroom, highly finished apartment with terrace and one lock-up garage. €318,000. Phone 7982 2913."
"Monday, September 4, 2017","
Property For Sale
ATTARD. Unconverted, corner house of character with three entrances, full airspace + garage. Possibility to build further or as a site for apartments. €335,000. Phone 7947 3138."
"Monday, September 4, 2017","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. .11ha (tumolo) plot for fully-detached villa. €2,650,000. Phone 9942 2782."
"Monday, September 4, 2017","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. Detached bungalow with four bedrooms, garage and 4,000sqm of garden with pool. Phone 9987 0009."
"Monday, September 4, 2017","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. New development enjoying views, starting from €230,000. Phone 9949 8531."
"Monday, September 4, 2017","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. One bedroom, fully furnished maisonette. Guaranteed rental investment. Direct from owner. €145,000. Phone 7903 0290."
"Monday, September 4, 2017","
Property For Sale
BAĦRIJA. 5000sqm farmhouse. Terraces, views. Nothing like it. €750,000. Phone 9942 2256."
"Monday, September 4, 2017","
Property For Sale
BAĦRIJA. Three bedroom, finished groundfloor apartment. €180,000, garage included. Phone 9942 4194."
"Monday, September 4, 2017","
Property For Sale
BALZAN. Groundfloor maisonette set in a quiet area of Balzan. Layout comprises kitchen / living / dining, two double bedrooms (main with ensuite), one single bedroom, main bathroom, internal and back yard with a three-car interconnecting garage. Phone 9958 6828."
"Monday, September 4, 2017","
Property For Sale
BALZAN. Maisonette in a villa area. Three bedrooms, two bathrooms. Part ownership of roof and three-car garage. €330,000. Phone 7972 8893."
"Monday, September 4, 2017","
Property For Sale
BALZAN. Rare to come by. Wide fronted, three bedroom townhouse with 85sqm back garden. No agents. Phone 7949 0063."
"Monday, September 4, 2017","
Property For Sale
BALZAN. Sole agency. Groundfloor, three bedroom maisonette in a quiet area, back yard. Ready to move into. €335,000, garage included. Phone 7982 2913."
"Monday, September 4, 2017","
Property For Sale
BALZAN. Three bedroom squarish apartment sold finished. €265,000. Phone Joe 9901 1837."
"Monday, September 4, 2017","
Property For Sale
BALZAN. Three bedroom, finished apartment with balconies, direct from owner. €185,000. Phone 9958 7172."
"Monday, September 4, 2017","
Property For Sale
BALZAN. Three bedroom, furnished apartment. Parquet flooring, use of roof, in a smart block served with lift. €230,000. No agents. Phone Alex 7991 1918."
"Monday, September 4, 2017","
Property For Sale
BIRGUMA. Fantastic, four bedroom semi-detached villa with 13m frontage and 150sqm garden area with pool. In shell form, perfect to finish to your taste. Worth a visit. Direct from owner. Phone 9902 2746."
"Monday, September 4, 2017","
Property For Sale
BIRGUMA. Newly built, 460sqm semi-detached / semi-finished, open plan bungalow. Two double bedrooms, two bathrooms, surrounding garden, four-car garage, flatlet, pool. €888,000. Phone 7957 9360."
"Monday, September 4, 2017","
Property For Sale
BIRGUMA. Unique. Ready to move into, fully converted detached house of character with pool and deck area, beautiful open plan, PV panels and a one-car lock-up with drive. €775,000. No agents. Phone 9942 7491."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA, Infetti area. New, luxury, large corner three bedroom penthouse being sold finished. Lift, large terraces. Garage optional. Phone 7944 0132/9950 9048."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA, Infetti area. New, luxury, two or three bedroom apartments starting from €165,000. Phone owner 7944 0132/9950 9048."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA, limits of Ta' Paris. Finished apartment. Squarish layout, three bedrooms, 18sqm terrace. €156,000. Phone 7901 5000."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Furnished maisonette with roof. Three bedrooms, kitchen, living, bathroom, washroom, etc. €280,000. Phone 9949 2577."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Luxurious three bedroom apartment minutes away from university. €168,000. Phone 9967 0019."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Maisonette. Back terrace, internal yard, three bedrooms. €300,000. Phone 9921 4150."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Semi-detached fully furnished maisonette with full airspace. Brightly lit open plan living / dining, fully fitted kitchen, three bedrooms, bathroom, ensuite + 12 PV panels. €280,000, garage optional. Phone 7948 6346."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Three bedroom apartment in a small block close to all amenities. €136,000 only. On plan. Phone agent 9922 4200."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Three bedroom maisonette with full roof. €240,000. Phone 7900 5544."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Three bedroom second floor maisonette, finished to high specifications, including one car garage. Phone owner 7983 6985. "
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Three bedroom, open plan maisonette. Large roof space, one-car lock-up garage. €270,000. Phone 9921 4150."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Two bedroom apartment with open plan. Phone 7942 2408."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Two bedroom, small house of character, converted / furnished. Nice area. Ideal as rental investment. Priced to sell, €140,000. Phone 9900 0480."
"Monday, September 4, 2017","
Property For Sale
BIRKIRKARA. Unconverted house of character. PA permits in hand to construct three / four bedrooms, with 435sqm outside space including pool. €750,000. No agents. Phone Dylan 9949 8243."
"Monday, September 4, 2017","
Property For Sale
BIRŻEBBUĠA. Apartment close to seafront. Two bedrooms, use of roof. €99,950. Phone 7986 2472."
"Monday, September 4, 2017","
Property For Sale
BIRŻEBBUĠA. Established take-away / pizzeria + 20 seated, two minutes from seafront. Phone 9917 0000."
"Monday, September 4, 2017","
Property For Sale
BIRŻEBBUĠA. Fully detached, converted farmhouse on .11ha (tumolo) of land. €638,000. Phone 9946 7721."
"Monday, September 4, 2017","
Property For Sale
BIRŻEBBUĠA. Highly furnished apartment minutes away from beach, roof, sea views. €230,000. Phone 9964 4224."
"Monday, September 4, 2017","
Property For Sale
BIRŻEBBUĠA. Seafront, highly finished, two bedroom apartment, large terrace. €220,000. Phone 9917 0000."
"Monday, September 4, 2017","
Property For Sale
BUĠIBBA, close to Buġibba Square. Two-car garage. Phone owner 9942 6746. "
