Date,Property Description
"Monday, March 5, 2018",
"Monday, March 5, 2018","
Property For Sale
SWIEQI. Three bedrooms modern furnished first floor semi detached maisonette full roof, garage, basement. €490,000. Phone 2138 5451/9947 3904."
"Monday, March 5, 2018","
Property For Sale
10 PRICE REDUCTIONS this week on properties for Sale at Ben Estates Ltd. Visit our website on www.benestates.com, or Phone 9999 9983."
"Monday, March 5, 2018","
Property For Sale
ATTARD, Misraħ kola. Furnished ground floor maisonette. Two car garage included. €285,000. Phone 79895375."
"Monday, March 5, 2018","
Property For Sale
ATTARD, Tal-Mirakli. Semi-detached two/ three bedroom maisonette, full roof, garage, views. €345,000. Phone 7900 5544."
"Monday, March 5, 2018","
Property For Sale
ATTARD. 130sqm maisonette with two bedroom, a lovely sunny terrace and a garage included. €320,000. Phone 7982 2913."
"Monday, March 5, 2018","
Property For Sale
ATTARD. 250sqm duplex penthouse being offered finished to high standards. Massive open plan and terrace, three double bedroom, lounge area, main bathroom, washroom and two other terraces. Optional garage also available. Phone 7989 5375 for more information."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Apartment with three bedroom, lift, and good sized front balcony enjoying views. Garage included. Ready to move into. €325,000. Phone 7974 7725 / 2339 2299."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Corner Site for development for 8 units including permits. €770,000. Phone 7949 3537."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Corner villa on 275sqm plot. To be built in shell. €840,000. Phone 9914 6231."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Detached villa, 900sqm, four bedroom, garden, pool & eight-car garage. Freehold. Price on request. Phone on 9910 8074."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Ground floor maisonette with three bedroom, backyard, and a large three/ four-car garage included. €292,500. Phone 7974 7724 / 2339 2299."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Highly finished and furnished apartment, three bedroom, 40sqm open plan, one car garage. €287,000. Phone 7997 9975."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Land for sale for development measuring 1627sqm. Phone 7985 8239."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Large, bright, highly finished solitary maisonette, including large living/ dining/ kitchen area, internal yard, three bedroom, two bathrooms, washroom, roof and full ownership of airspace. Phone 7928 5667."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Penthouse fully furnished. Two bedroom. €250,000. Phone 7711 8866."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Solitary maisonette with one car garage in pleasent area. Phone 9949 7468."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Terraced house, garage, siting / dining, study, kitchen / living, guest bathroom, five bedroom, ensuite, main bathroom, washroom, full roof. €och510,000. Phone sensar 7748 5858."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Three bedroom apartment, furnished, terrace. €210,000. Phone 9942 2256."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Three bedroom, corner semi-detached villa, front garden, prestigious villa area, driveway leading toone car garage. €797,000. Phone 9949 2972."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Threebedroom apartment, small block of four. Ideal for first time buyers or rental investment.€240,000.Phone 7925 2169."
"Monday, March 5, 2018","
Property For Sale
ATTARD. Well-kept terraced house. Five bedroom. Property boasts a fully tiled roof terrace ideal for a roof garden. One car garage included. Fantastic area. €558,000. Phone on 7744 2745."
"Monday, March 5, 2018","
Property For Sale
BAHRIJA. 140sqm three bedroom maisonette with large outdoor spaces. €250,000. Phone 9984 1661."
"Monday, March 5, 2018","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. Available today. Large duplex three bedroom apartment, great area, distant sea views, semi-furnished, two car lock-up garage. Bargain. €335,000. Phone 9916 4100."
"Monday, March 5, 2018","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. Choice of maisonettes, apartments and penthouse in a new development close to sea front. Phone 7990 0738."
"Monday, March 5, 2018","
Property For Sale
BAĦAR IĊ-ĊAGĦAQ. Three bedroom apartment in this beautiful locality. Priced at €250,000 and measuring 143sqm. More options available. Completion end of 2018. Phone 9922 4200."
"Monday, March 5, 2018","
Property For Sale
BALZAN. Elevated ground floor apartment. Three bedroom, main ensuite, bathroom, kitchen/ dining, living room, box room and backyard with conservatory. Offered mainly furnished. €och279,000. Phone 7947 3138."
"Monday, March 5, 2018","
Property For Sale
BALZAN. Large three bedroom apartment, finished. €275,000. Phone 9982 8919."
"Monday, March 5, 2018","
Property For Sale
BALZAN. Semi-detached villa. €855,000. Phone agent on 9942 4397."
"Monday, March 5, 2018","
Property For Sale
BALZAN. Three bedroom apartment, box room, quiet area, block of four. €238,000. Phone 7945 0155."
"Monday, March 5, 2018","
Property For Sale
BIDNIJA. Three double bedroom, typical Maltese house of character, private outdoor area, swimming pool.€760,000. Phone 9949 2972."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Being sold highly finished, three bedroom apartment with front and back balconies. Optional garage. €185,000. Phone 7982 2913."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Expertly converted townhouse with three double bedroom, yard and airspace. Nothing like it on the market. €325,000. Phone 9906 1345."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Finished three bedroom apartment, kitchen/ living, dining, bathroom, ensuite, lift. €160,000. Phone 7718 0366/ 7923 1275."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. First floor maisonette, full Airspace. All permits to build two apartments.€175,000 Phone 7925 2169."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. First floor maisonette, three bedroom, two bathrooms, washroom, part of roof, two car garage. €350,000. Phone 7777 9010."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Furnished Large three bedroom penthouse with garage, Solar heating, fully airconditioned and much more. €295,000. Phone 7947 0510."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. House of character. Expert conversion. €och445,000. Phone Michele 9997 7341."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Main arterial townhouse and shop. Ideal for any kind of business. Phone 9949 7468."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Nine-roomed townhouse. Large rooms, 62sqm garden, two bathrooms, four/ five bedroom, spacious internal courtyard. €och350,000. Phone 9900 7002."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Shop 70sqm. €250,000. Phone 9928 8466."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Spacious/ modern, wide-fronted, tasteful apartment. Three large bedroom, study, separate dining. Quiet street/ small block. €305,000. Phone 9942 1969."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Tastefully converted and centrally located three bedroom house of character with yard. €447,000. Phone 7902 8283 / 2339 2299."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Unconverted townhouse with good size garden. €245,000. Phone 9967 0019."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA. Maisonette three bedroom 150sqm. €195,000. Phone 7942 2408."
"Monday, March 5, 2018","
Property For Sale
BIRKIRKARA/ IKLIN. Three/ four duplex maisonette with roof and airspace freehold can build further floors and two-car street level garage. €425,000. Phone 9928 2740."
"Monday, March 5, 2018","
Property For Sale
BIRŻEBBUĠA. Large finished apartments in pretty Bay, sea-views. Starting from €190,000. Phone 7771 5551."
"Monday, March 5, 2018","
Property For Sale
BIRŻEBBUĠA. Large highly finished three bedroom apartment with sea-views. €155,000. Phone 9917 0000."
"Monday, March 5, 2018","
Property For Sale
BIRŻEBBUĠA. Spacious furnished terraced house facing green area, basement eight-car garage, own roof. €415,000. Phone 9964 4224."
"Monday, March 5, 2018","
Property For Sale
BIRŻEBBUĠA. Three bedroom ground floor maisonette. Phone 7946 3278."
"Monday, March 5, 2018","
Property For Sale
BIRŻEBBUĠIA. Commercial/ residential investment. A block of three units on the seafront with the possibility to built two floors. Ground floor ideal as a restaurant with permits. €890,000. Phone 7947 1725."
"Monday, March 5, 2018","
Property For Sale
BIRŻEUBBUĠA. Corner bungalow with large garden and a roof terrace with excellent country views. Two car garage included. €720,000. Phone 7902 8283 / 2339 2299."
